GBFS - h3 - Puzzle #4 - Search
0 0 0 
1 1 9 BBB..MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
1 1 9 .BBB.MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
1 1 9 BBB..MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
2 2 6 BBB..MCCDD.MAAK..MJ.KLEEJGGL..JHHHII
3 3 6 BBB..MCC.DDMAAK..MJ.KLEEJGGL..JHHHII
3 3 6 .BBB.MCC.DDMAAK..MJ.KLEEJGGL..JHHHII
4 4 6 BBB..MCCKDDMAAK..MJ..LEEJGGL..JHHHII
4 4 6 ..BBBMCCDD.MAAKL.MJ.KLEEJGG...JHHHII
4 4 6 .BBB.MCC.DDMAAKL.MJ.KLEEJGG...JHHHII
4 4 6 BBB..M.CCDDMAAKL.MJ.KLEEJGG...JHHHII
5 5 6 BBB..MCCKDDMAAKL.MJ..LEEJGG...JHHHII
5 5 6 ..BBBMCC.DDMAAKL.MJ.KLEEJGG...JHHHII
5 5 6 .BBB.M.CCDDMAAKL.MJ.KLEEJGG...JHHHII
6 6 6 .BBB.MCCKDDMAAKL.MJ..LEEJGG...JHHHII
6 6 6 ..BBBM.CCDDMAAKL.MJ.KLEEJGG...JHHHII
1 1 9 ..BBBMCCKDDMAAKL.MJ..LEEJGG...JHHHII
2 2 6 BBB..MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
3 3 6 BBB..MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 6 .BBB.MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 6 BBB..MCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 6 BBB..MCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
4 4 3 BBB..MCCDD.MAA...MJ.KLEEJ.KLGGJHHHII
5 5 3 BBB..MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
5 5 3 .BBB.MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
5 5 3 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
5 5 3 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
5 5 3 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
6 6 3 BBB..MCCDD.M..KAAMJ.KLEEJ..LGGJHHHII
6 6 3 ..BBBMCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
6 6 3 .BBB.MCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII
6 6 3 .BBB.MCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
6 6 3 .BBB.MCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
6 6 3 .BBB.MCCDD.M..KAAMJ.KLEEJ..LGGJHHHII
6 6 3 BBB..M.CCDDMAA.L.MJ.KLEEJ.K.GGJHHHII
6 6 3 BBB..MCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
6 6 3 BBB..MCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
6 6 3 BBB..MCCKDDM..KAAMJ..LEEJ..LGGJHHHII
7 7 3 BBB..MCCKDDM..KAAMJ..LEEJ..LGGJHHHII
7 7 3 ..BBBMCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII
7 7 3 ..BBBMCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 ..BBBMCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 ..BBBMCCDD.M..KAAMJ.KLEEJ..LGGJHHHII
7 7 3 .BBB.M.CCDDMAA.L.MJ.KLEEJ.K.GGJHHHII
7 7 3 .BBB.MCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 .BBB.MCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 .BBB.MCCKDDM..KAAMJ..LEEJ..LGGJHHHII
7 7 3 .BBB.MCCKDDM..KAAMJ..LEEJ..LGGJHHHII
7 7 3 BBB..M.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 BBB..M.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
7 7 3 BBB..M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
7 7 3 BBB..M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
8 8 3 BBB..M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
8 8 3 ..BBBM.CCDDMAA.L.MJ.KLEEJ.K.GGJHHHII
8 8 3 ..BBBMCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
8 8 3 ..BBBMCC.DDM.AAL.MJ.KLEEJ.K.GGJHHHII
8 8 3 ..BBBMCCKDDM..KAAMJ..LEEJ..LGGJHHHII
8 8 3 ..BBBMCCKDDM..KAAMJ..LEEJ..LGGJHHHII
8 8 3 .BBB.M.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
8 8 3 .BBB.M.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
8 8 3 .BBB.M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
8 8 3 .BBB.M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
8 8 3 .BBB.M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
9 9 3 .BBB.M.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
9 9 3 ..BBBM.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
9 9 3 ..BBBM.CCDDM.AAL.MJ.KLEEJ.K.GGJHHHII
9 9 3 ..BBBM.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
9 9 3 ..BBBM.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
9 9 3 ..BBBM.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
10 10 3 ..BBBM.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
4 4 6 ..BBBM.CCDDM..KAAMJ.KLEEJ..LGGJHHHII
4 4 6 ..BBBMCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII
4 4 6 .BBB.MCCKDDMAAKL.MJ..LEEJ..GG.JHHHII
4 4 6 .BBB.MCCKDDMAAKL.MJ..LEEJ..GG.JHHHII
4 4 6 .BBB.MCCKDDMAAKL.MJ..LEEJ..GG.JHHHII
4 4 6 BBB..M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
4 4 6 BBB..M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
4 4 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
5 5 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 6 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 6 ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
7 7 6 ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
7 7 6 .BBB.MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
7 7 6 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 6 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 6 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 6 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
7 7 6 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 6 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 6 ..BBBMCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
