GBFS - h2 - Puzzle #4 - Search
0 0 0 
4 4 2 BBB..M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
4 4 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
5 5 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
6 6 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 2 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 2 ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
7 7 2 ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
7 7 2 .BBB.MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
7 7 2 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 2 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 2 .BBB.MCCKDDMAAKL.MJ..LEEJ...GGJHHHII
7 7 2 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
7 7 2 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 2 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 2 ..BBBMCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 2 ..BBBMCCKDDMAAKL.MJ..LEEJ...GGJHHHII
8 8 2 ..BBBMCCKDDMAAKL.MJ..LEEJ...GGJHHHII
8 8 2 ..BBBMCCKDDMAAKL.MJ..LEEJ...GGJHHHII
8 8 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
8 8 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
9 9 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
9 9 2 ..BBBM.CCDDMAAKL.MJ.KLEEJ...GGJHHHII
9 9 2 ..BBBM.CCDDMAA.L.MJ.KLEEJ.KGG.JHHHII
9 9 2 ..BBBMCC.DDM.AAL.MJ.KLEEJ.KGG.JHHHII
10 10 2 .BBB.M.CCDDM.AAL.MJ.KLEEJ.KGG.JHHHII
5 5 2 ..BBBM.CCDDM.AAL.MJ.KLEEJ.KGG.JHHHII
5 5 2 ..BBBMCCKDDMAAKL.MJ..LEEJ..GG.JHHHII
5 5 2 ..BBBMCCKDDMAAKL.MJ..LEEJ..GG.JHHHII
5 5 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
5 5 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
10 10 2 .BBB.M.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
10 10 2 ..BBBM.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
10 10 2 ..BBBM.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
11 11 2 ..BBBM.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
1 1 3 ..BBBM.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
2 2 3 ..BBBM.CCDDMAAKL.MJ.KLEEJ..GG.JHHHII
2 2 3 ..BBBMCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
2 2 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
7 7 3 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
7 7 3 ..BBBM.CCDDMAAKL.MJ.KLEEJ.GG..JHHHII
4 4 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
5 5 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
9 9 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
9 9 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
9 9 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
10 10 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
6 6 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
11 11 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
3 3 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
3 3 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
3 3 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
8 8 3 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
