GBFS - h3 - Puzzle #5 - Search
0 0 0 
1 1 3 IJBBCCIJDDL.IJAAL.EEK.L...KFF..GG.HH
1 1 3 IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG..HH
2 2 3 IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
2 2 3 IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
2 2 3 IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
2 2 3 IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
3 3 3 IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
3 3 3 IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
3 3 3 IJBBCCIJDDL.IJAAL...EEL...KFF.GGK.HH
4 4 3 IJBBCCIJDDL.IJAAL...EEL...KFF.GGK.HH
4 4 3 .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
4 4 3 .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
4 4 3 .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
4 4 3 .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
4 4 3 .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGK.HH
4 4 3 I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
4 4 3 I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
5 5 3 I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
5 5 3 I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
5 5 3 I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
5 5 3 ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
5 5 3 ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
5 5 3 ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
5 5 3 ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
5 5 3 ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
5 5 3 ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
5 5 3 IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
5 5 3 IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
5 5 3 IBB.CCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
5 5 3 I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
6 6 3 I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
6 6 3 .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
6 6 3 BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
6 6 3 BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
