GBFS - h2 - Puzzle #2 - Search
0 0 0 
1 1 1 ..I...BBI.K.GHAAKLGHDDKLG..JEE.FFJ..
2 2 1 ..I..LBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
2 2 1 ..I.KLBBI.KLGHAAK.GHDD..G..JEE.FFJ..
2 2 1 ..I..LBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
3 3 1 ..I...BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
3 3 1 ..I.KLBBI.KLG.AAK.GHDD..GH.JEE.FFJ..
3 3 1 ..I.KLBBI.KLGHAAK.GH.DD.G..JEE.FFJ..
3 3 1 ..I.KLBBI.KLGHAAK.GH..DDG..JEE.FFJ..
3 3 1 ..I.K.BBI.K.GHAAKLGHDD.LG..JEE.FFJ..
3 3 1 ..I..LBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
3 3 1 ..I...BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
4 4 1 ..I...BBI.K..HAAKLGHDDKLG..JEEGFFJ..
4 4 1 ..I.KLBBI.KLGAA.K.GHDD..GH.JEE.FFJ..
4 4 1 ..I.KLBBI.KLG.AAK.GH.DD.GH.JEE.FFJ..
4 4 1 ..I.KLBBI.KLG.AAK.GH..DDGH.JEE.FFJ..
4 4 1 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEE.FFJ..
4 4 1 ..I.K.BBI.K.GHAAKLGH.DDLG..JEE.FFJ..
4 4 1 ..I.KLBBI.KLGHAAK.GH.JDDG..JEE....FF
4 4 1 ..I.K.BBI.KLGHAAKLGH..DDG..JEE.FFJ..
4 4 1 ..I.K.BBI.K..HAAKLGHDD.LG..JEEGFFJ..
4 4 1 ..I...BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
5 5 1 ..I...BBI.K...AAKLGHDDKLGH.JEEGFFJ..
5 5 1 ..I.KLBBI.KLGAA.K.GH.DD.GH.JEE.FFJ..
5 5 1 ..I.KLBBI.KLGAA.K.GH..DDGH.JEE.FFJ..
5 5 1 ..I.K.BBI.K.GAA.KLGHDD.LGH.JEE.FFJ..
5 5 1 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEE.FFJ..
5 5 1 ..I.KLBBI.KLG.AAK.GH.JDDGH.JEE....FF
5 5 1 ..I.K.BBI.KLG.AAKLGH..DDGH.JEE.FFJ..
5 5 1 ..I.K.BBI.K...AAKLGHDD.LGH.JEEGFFJ..
5 5 1 ..I.K.BBI.K..HAAKLGH.DDLG..JEEGFFJ..
5 5 1 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE.FF...
5 5 1 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE..FF..
5 5 1 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE...FF.
5 5 1 ..I.KLBBI.KLGHAAK.GH..DDG..JEE...JFF
5 5 1 ..I.K.BBI.KL.HAAKLGH..DDG..JEEGFFJ..
5 5 1 ..I...BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
6 6 1 ..I...BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
6 6 1 ..I.K.BBI.K.GAA.KLGH.DDLGH.JEE.FFJ..
6 6 1 ..I.KLBBI.KLGAA.K.GH.JDDGH.JEE....FF
6 6 1 ..IJKLBBIJKLGAA.K.GH..DDGH..EE....FF
6 6 1 ..I.KLBBIJKLGAAJK.GH..DDGH..EE.FF...
6 6 1 ..I.K.BBI.K..AA.KLGHDD.LGH.JEEGFFJ..
6 6 1 ..I.K.BBI.K...AAKLGH.DDLGH.JEEGFFJ..
6 6 1 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE.FF...
6 6 1 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE..FF..
6 6 1 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE...FF.
6 6 1 ..I.KLBBI.KLG.AAK.GH..DDGH.JEE...JFF
6 6 1 ..I.K.BBI.KL..AAKLGH..DDGH.JEEGFFJ..
6 6 1 ..I.K.BBI.K.AA..KLGHDD.LGH.JEEGFFJ..
6 6 1 ..I.K.BBI.KL.HAAKLGH.JDDG..JEEGFF...
6 6 1 ..I.K.BBI.KL.HAAKLGH.JDDG..JEEG.FF..
6 6 1 ..I.K.BBI.KLG.AAKLG..JDDGH.JEE.HFF..
6 6 1 ..I.K.BBI.KL.HAAKLGH.JDDG..JEEG..FF.
6 6 1 ..I.K.BBI.KLG.AAKLG..JDDGH.JEE.H.FF.
6 6 1 ..I.KLBBI.KL.HAAK.GH..DDG..JEEG..JFF
6 6 1 ..I.KLBBI.KLG.AAK.G...DDGH.JEE.H.JFF
7 7 1 ..I.KLBBI.KLGHAAK.GHDD..G..JEE...JFF
7 7 1 ..I.K.BBI.K..AA.KLGH.DDLGH.JEEGFFJ..
7 7 1 ..I.K.BBI.KLGAA.KLGH.JDDGH.JEE.FF...
7 7 1 ..I.KLBBIJKLGAAJK.GH..DDGH..EE..FF..
7 7 1 ..I.KLBBIJKLGAAJK.GH..DDGH..EE...FF.
7 7 1 ..I.KLBBI.KLGAA.K.GH..DDGH.JEE...JFF
7 7 1 ..IJKLBBIJKLG.AAK.GH..DDGH..EE....FF
7 7 1 ..IJKLBBIJKLGAA.K.GH.DD.GH..EE....FF
7 7 1 ..IJKLBBIJKLGAA.K.GHDD..GH..EE....FF
7 7 1 ..IJKLBBIJKLGAA.K.GH..DDGH.EE.....FF
7 7 1 ..IJKLBBIJKLGAA.K.GH..DDGHEE......FF
7 7 1 ..IJK.BBIJKLGAA.KLGH..DDGH..EE.FF...
7 7 1 ..IJK.BBIJKLGAA.KLGH..DDGH..EE..FF..
7 7 1 ..IJK.BBIJKLGAA.KLGH..DDGH..EE...FF.
7 7 1 ..IJK.BBIJKLGAA.KLGH..DDGH..EE....FF
7 7 1 ..I.KLBBIJKL.AAJK.GH..DDGH..EEGFF...
7 7 1 ..I.K.BBI.K.AA..KLGH.DDLGH.JEEGFFJ..
7 7 1 ..I.K.BBI.KL..AAKLGH.JDDGH.JEEGFF...
7 7 1 ..I.K.BBI.KL..AAKLGH.JDDGH.JEEG.FF..
7 7 1 ..I.K.BBI.KL..AAKLGH.JDDGH.JEEG..FF.
7 7 1 ..I.KLBBI.KL..AAK.GH..DDGH.JEEG..JFF
7 7 1 ..I.KLBBI.KLG.AAK.GHDD..GH.JEE...JFF
7 7 1 ..IJKLBBIJKLAA..K.GH..DDGH..EEGFF...
7 7 1 ..I.K.BBI.KL..AAKLG..JDDGH.JEEGHFF..
7 7 1 ..I.KLBBIJKLGAAJK.G...DDGH..EE.HFF..
7 7 1 ..I.K.BBI.KL..AAKLG..JDDGH.JEEGH.FF.
7 7 1 ..I.KLBBIJKLGAAJK.G...DDGH..EE.H.FF.
7 7 1 ..I.KLBBI.KL..AAK.G...DDGH.JEEGH.JFF
7 7 1 ..I.KLBBI.KL.HAAK.GHDD..G..JEEG..JFF
7 7 1 ..I.KLBBI.KLGAA.K.G...DDGH.JEE.H.JFF
7 7 1 ..I.KLBBI.KLG.AAK.GDD...GH.JEE.H.JFF
7 7 1 ..I.K.BBI.K.GHAAKLGH.DDLG..JEE...JFF
8 8 1 ..I.K.BBI.K.GHAAKLGHDD.LG..JEE...JFF
8 8 1 ..I.K.BBI.KL.AA.KLGH.JDDGH.JEEGFF...
8 8 1 ..I.KLBBIJKL.AAJK.GH..DDGH..EEG.FF..
8 8 1 ..I.KLBBIJKL.AAJK.GH..DDGH..EEG..FF.
8 8 1 ..I.KLBBI.KL.AA.K.GH..DDGH.JEEG..JFF
8 8 1 ..I.KLBBI.KLGAA.K.GHDD..GH.JEE...JFF
8 8 1 ..IJKLBBIJKLGHAAK.GH..DDG...EE....FF
8 8 1 ..IJKLBBIJKLG.AAK.GH.DD.GH..EE....FF
8 8 1 ..IJKLBBIJKLG.AAK.GHDD..GH..EE....FF
8 8 1 ..IJKLBBIJKLG.AAK.GH..DDGH.EE.....FF
8 8 1 ..IJKLBBIJKLG.AAK.GH..DDGHEE......FF
8 8 1 ..IJK.BBIJKLG.AAKLGH..DDGH..EE.FF...
8 8 1 ..IJK.BBIJKLG.AAKLGH..DDGH..EE..FF..
8 8 1 ..IJK.BBIJKLG.AAKLGH..DDGH..EE...FF.
8 8 1 ..IJK.BBIJKLG.AAKLGH..DDGH..EE....FF
8 8 1 ..IJKLBBIJKLGAA.K.GH.DD.GH.EE.....FF
8 8 1 ..IJKLBBIJKLGAA.K.GH.DD.GHEE......FF
8 8 1 ..I.KLBBIJKLGAAJK.GH.DD.GH..EE.FF...
8 8 1 ..I.KLBBIJKLGAAJK.GH.DD.GH..EE..FF..
8 8 1 ..I.KLBBIJKLGAAJK.GH.DD.GH..EE...FF.
8 8 1 ..I.KLBBIJKLGAAJK.GH.DD.GH..EE....FF
8 8 1 ..IJ.LBBIJKLGAA.K.GHDDK.GH..EE....FF
8 8 1 ..IJKLBBIJKLGAA.K.GHDD..GH.EE.....FF
9 9 0 ..IJKLBBIJKLGAA.K.GHDD..GHEE......FF
